start,end,month,tavg,tmin,tmax,prcp
1991,2020,1,-11.3,-16.7,-5.9,
1991,2020,2,-11.6,-17.5,-5.7,
1991,2020,3,-6.4,-12.5,-0.2,
1991,2020,4,3.6,-3.4,10.5,
1991,2020,5,10,2.7,17.3,
1991,2020,6,14.2,7.8,20.7,
1991,2020,7,17.1,10.3,23.9,
1991,2020,8,15.6,8.5,22.7,
1991,2020,9,10.4,3.6,17.2,
1991,2020,10,3.6,-2.9,10,
1991,2020,11,-5.6,-10.6,-0.7,
1991,2020,12,-10.2,-15.3,-5,
1981,2010,1,-5.5,-11,0,18.6
1981,2010,2,-4.6,-11,1.8,24.9
1981,2010,3,-1.5,-7.4,4.4,37.3
1981,2010,4,2.6,-3.8,9.1,68.4
1981,2010,5,7.3,0.4,14.2,87.7
1981,2010,6,11.3,4.1,18.5,138.9
1981,2010,7,15.2,6.9,23.5,47.5
1981,2010,8,13.6,5.7,21.6,70.2
1981,2010,9,9.6,2.5,16.7,79.1
1981,2010,10,4.3,-1.7,10.3,39.3
1981,2010,11,-1.1,-6.1,3.9,23.9
1981,2010,12,-6.6,-11.7,-1.4,16.1
1991,2020,1,-5.3,-10.8,0.2,19.5
1991,2020,2,-5.5,-11.7,0.7,25
1991,2020,3,-1.5,-7.8,4.7,35.8
1991,2020,4,2.5,-3.9,8.9,69.4
1991,2020,5,7.6,0.5,14.8,91.9
1991,2020,6,11.6,4.3,18.9,135.3
1991,2020,7,15.2,7,23.4,53
1991,2020,8,14,6,22.1,63.6
1991,2020,9,9.8,2.8,16.9,72.4
1991,2020,10,4.3,-1.6,10.2,43.4
1991,2020,11,-1.2,-6.2,3.7,31.5
1991,2020,12,-6.1,-11.2,-1.1,22.7
1991,2020,1,-4.6,-8.2,-0.9,40.1
1991,2020,2,-1.6,-7.1,3.9,25.5
1991,2020,3,4.4,-2.2,11,30.6
1991,2020,4,8.2,0.2,16.1,39.4
1991,2020,5,12.4,4,20.9,57.5
1991,2020,6,16.2,7.8,24.5,60.4
1991,2020,7,19.9,9.9,29.9,27.3
1991,2020,8,19.4,9.1,29.7,19.6
1991,2020,9,14.6,5,24.1,23.4
1991,2020,10,7.6,0.3,15,34.5
1991,2020,11,0.4,-3.7,4.6,33.8
1991,2020,12,-4.4,-7.8,-0.9,48.6
1981,2010,1,-9.6,-14.3,-4.9,67.5
1981,2010,2,-7.8,-12.8,-2.7,52.2
1981,2010,3,-1.9,-6.8,3,66.8
1981,2010,4,6.6,1.3,11.9,106.6
1981,2010,5,13.4,7.4,19.4,98.8
1981,2010,6,19,13.3,24.6,102.9
1981,2010,7,20.8,15.4,26.1,117.8
1981,2010,8,20,14.5,25.6,108.5
1981,2010,9,16.2,10.5,21.8,94.6
1981,2010,10,8.6,3.8,13.4,123
1981,2010,11,2.6,-1.4,6.6,97.1
1981,2010,12,-5.8,-9.8,-1.7,102.2
1991,2020,1,-9.6,-14.3,-4.9,64
1991,2020,2,-7.6,-12.6,-2.7,57.1
1991,2020,3,-2,-6.8,2.9,69.1
1991,2020,4,6.6,1.3,11.8,104.6
1991,2020,5,13.5,7.6,19.4,106.9
1991,2020,6,19,13.4,24.6,102.1
1991,2020,7,20.8,15.4,26.3,104.8
1991,2020,8,20,14.5,25.6,111.1
1991,2020,9,16.2,10.5,21.8,95.9
1991,2020,10,8.8,4,13.7,120.9
1991,2020,11,2.4,-1.8,6.6,80.5
1991,2020,12,-5.6,-9.8,-1.5,105.8
1991,2020,1,,,-6.8,
1991,2020,2,,,-3.6,
1991,2020,3,,,1.9,
1991,2020,4,,,9.9,
1991,2020,5,,,17.9,
1991,2020,6,,,23.4,
1991,2020,7,,,26,
1991,2020,8,,,25.4,
1991,2020,9,,,20.9,
1991,2020,10,,,12.5,
1991,2020,11,,,3.9,
1991,2020,12,,,-2.9,
1981,2010,1,-6.9,-10.8,-3,72.1
1981,2010,2,-5.8,-10.2,-1.5,58.2
1981,2010,3,-0.1,-4.5,4.3,61.8
1981,2010,4,7,2.1,12,89.7
1981,2010,5,13.4,8.1,18.7,93.4
1981,2010,6,18.5,13.6,23.4,103.7
1981,2010,7,21.2,16.4,25.9,102.2
1981,2010,8,21,16,25.9,75.6
1981,2010,9,16.9,12.1,21.7,103.1
1981,2010,10,9.9,5.9,13.9,108.5
1981,2010,11,4.2,0.4,8,97.3
1981,2010,12,-3.4,-6.9,0,94.9
1991,2020,1,-6.7,-10.7,-2.7,75.6
1991,2020,2,-5.8,-10.1,-1.6,65.9
1991,2020,3,-0.4,-4.7,4,65.6
1991,2020,4,6.4,1.7,11.2,93.9
1991,2020,5,13.8,8.4,19.1,85.4
1991,2020,6,18.4,13.5,23.4,99.5
1991,2020,7,21.2,16.4,25.9,105.2
1991,2020,8,20.9,16,25.8,80.4
1991,2020,9,16.8,12,21.6,92.1
1991,2020,10,9.7,5.7,13.7,102.2
1991,2020,11,3.6,-0.1,7.4,79.8
1991,2020,12,-3.4,-6.9,0.2,94.2
1991,2020,1,,-19.2,,
1991,2020,2,,-20.1,,
1991,2020,3,,-11.8,,
1991,2020,4,,-3.6,,
1991,2020,5,,3.5,,
1991,2020,6,,9.3,,
1991,2020,7,,11.7,,
1991,2020,8,,9.8,,
1991,2020,9,,5.2,,
1991,2020,10,,-1.4,,
1991,2020,11,,-10.3,,
1991,2020,12,,-18,,
1991,2020,1,-7.7,-11.9,-3.5,63.9
1991,2020,2,-7,-11.6,-2.5,59.8
1991,2020,3,-1.2,-5.9,3.6,62.7
1991,2020,4,6.2,0.8,11.5,80.6
1991,2020,5,12.8,7.1,18.6,89.2
1991,2020,6,17.9,12.5,23.3,92.6
1991,2020,7,20.2,14.7,25.8,95.3
1991,2020,8,19.6,14.1,25,81.2
1991,2020,9,15.8,10.4,21.2,93.8
1991,2020,10,9,4.6,13.3,96.4
1991,2020,11,3.1,-0.8,7,84.6
1991,2020,12,-3,-6.5,0.4,70.3
1991,2020,1,,,,170
1991,2020,2,,,,96.8
1991,2020,3,,,,110.6
1991,2020,4,,,,56.8
1991,2020,5,,,,39.8
1991,2020,6,,,,22.1
1991,2020,7,,,,9.4
1991,2020,8,,,,21.5
1991,2020,9,,,,47.2
1991,2020,10,,,,118.2
1991,2020,11,,,,178.6
1991,2020,12,,,,149.9
1991,2020,1,-2.8,-6.1,0.4,153
1991,2020,2,-3.7,-6.9,-0.5,134.7
1991,2020,3,-1.6,-4.9,1.8,109.8
1991,2020,4,2.4,-1.3,6,82
1991,2020,5,6.7,2.4,11,96.4
1991,2020,6,11.2,6.4,15.9,83.3
1991,2020,7,16.8,12,21.5,83.3
1991,2020,8,17.4,13.2,21.5,99.8
1991,2020,9,14,9.7,18.2,107.4
1991,2020,10,8.9,5.5,12.3,150.9
1991,2020,11,4.5,1.3,7.7,159.5
1991,2020,12,0.2,-2.7,3.1,148.5
1981,2010,1,3.6,1,6.3,154.7
1981,2010,2,4,0.2,7.8,70.4
1981,2010,3,6.2,2.1,10.3,112.7
1981,2010,4,8.8,3.5,14.1,65
1981,2010,5,12.5,7.1,17.9,65.1
1981,2010,6,16,10.5,21.5,54.4
1981,2010,7,18.8,12.9,24.6,30.1
1981,2010,8,18.2,12.3,24.1,47.7
1981,2010,9,14.6,9.3,19.8,72
1981,2010,10,9.6,5.7,13.4,145.9
1981,2010,11,5.6,2.6,8.6,182.1
1981,2010,12,3,0.5,5.6,174.5
1991,2020,1,3.6,1,6.2,168.8
1991,2020,2,3.8,0,7.6,79.1
1991,2020,3,6.1,2,10.2,118.8
1991,2020,4,9,3.8,14.1,69.9
1991,2020,5,12.8,7.4,18.3,68.6
1991,2020,6,16,10.4,21.5,59.7
1991,2020,7,18.8,12.9,24.6,28.5
1991,2020,8,18.4,12.5,24.3,47.3
1991,2020,9,14.6,9.3,19.8,83.6
1991,2020,10,9.6,5.8,13.4,159.8
1991,2020,11,5.9,2.9,8.8,192.5
