start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,-5.5,-11.0,-0.0,18.6,,,
1981,2010,2,-4.6,-11.0,1.8,24.9,,,
1981,2010,3,-1.5,-7.4,4.4,37.3,,,
1981,2010,4,2.6,-3.8,9.1,68.4,,,
1981,2010,5,7.3,0.4,14.2,87.7,,,
1981,2010,6,11.3,4.1,18.5,138.9,,,
1981,2010,7,15.2,6.9,23.5,47.5,,,
1981,2010,8,13.6,5.7,21.6,70.2,,,
1981,2010,9,9.6,2.5,16.7,79.1,,,
1981,2010,10,4.3,-1.7,10.3,39.3,,,
1981,2010,11,-1.1,-6.1,3.9,23.9,,,
1981,2010,12,-6.6,-11.7,-1.4,16.1,,,
1991,2020,1,-5.3,-10.8,0.2,19.5,,,
1991,2020,2,-5.5,-11.7,0.7,25.0,,,
1991,2020,3,-1.5,-7.8,4.7,35.8,,,
1991,2020,4,2.5,-3.9,8.9,69.4,,,
1991,2020,5,7.6,0.5,14.8,91.9,,,
1991,2020,6,11.6,4.3,18.9,135.3,,,
1991,2020,7,15.2,7.0,23.4,53.0,,,
1991,2020,8,14.0,6.0,22.1,63.6,,,
1991,2020,9,9.8,2.8,16.9,72.4,,,
1991,2020,10,4.3,-1.6,10.2,43.4,,,
1991,2020,11,-1.2,-6.2,3.7,31.5,,,
1991,2020,12,-6.1,-11.2,-1.1,22.7,,,
