start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,-6.9,-10.8,-3.0,72.1,,,
1981,2010,2,-5.8,-10.2,-1.5,58.2,,,
1981,2010,3,-0.1,-4.5,4.3,61.8,,,
1981,2010,4,7.0,2.1,12.0,89.7,,,
1981,2010,5,13.4,8.1,18.7,93.4,,,
1981,2010,6,18.5,13.6,23.4,103.7,,,
1981,2010,7,21.2,16.4,25.9,102.2,,,
1981,2010,8,21.0,16.0,25.9,75.6,,,
1981,2010,9,16.9,12.1,21.7,103.1,,,
1981,2010,10,9.9,5.9,13.9,108.5,,,
1981,2010,11,4.2,0.4,8.0,97.3,,,
1981,2010,12,-3.4,-6.9,0.0,94.9,,,
1991,2020,1,-6.7,-10.7,-2.7,75.6,,,
1991,2020,2,-5.8,-10.1,-1.6,65.9,,,
1991,2020,3,-0.4,-4.7,4.0,65.6,,,
1991,2020,4,6.4,1.7,11.2,93.9,,,
1991,2020,5,13.8,8.4,19.1,85.4,,,
1991,2020,6,18.4,13.5,23.4,99.5,,,
1991,2020,7,21.2,16.4,25.9,105.2,,,
1991,2020,8,20.9,16.0,25.8,80.4,,,
1991,2020,9,16.8,12.0,21.6,92.1,,,
1991,2020,10,9.7,5.7,13.7,102.2,,,
1991,2020,11,3.6,-0.1,7.4,79.8,,,
1991,2020,12,-3.4,-6.9,0.2,94.2,,,
