start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,3.6,1.0,6.3,154.7,,,
1981,2010,2,4.0,0.2,7.8,70.4,,,
1981,2010,3,6.2,2.1,10.3,112.7,,,
1981,2010,4,8.8,3.5,14.1,65.0,,,
1981,2010,5,12.5,7.1,17.9,65.1,,,
1981,2010,6,16.0,10.5,21.5,54.4,,,
1981,2010,7,18.8,12.9,24.6,30.1,,,
1981,2010,8,18.2,12.3,24.1,47.7,,,
1981,2010,9,14.6,9.3,19.8,72.0,,,
1981,2010,10,9.6,5.7,13.4,145.9,,,
1981,2010,11,5.6,2.6,8.6,182.1,,,
1981,2010,12,3.0,0.5,5.6,174.5,,,
1991,2020,1,3.6,1.0,6.2,168.8,,,
1991,2020,2,3.8,-0.0,7.6,79.1,,,
1991,2020,3,6.1,2.0,10.2,118.8,,,
1991,2020,4,9.0,3.8,14.1,69.9,,,
1991,2020,5,12.8,7.4,18.3,68.6,,,
1991,2020,6,16.0,10.4,21.5,59.7,,,
1991,2020,7,18.8,12.9,24.6,28.5,,,
1991,2020,8,18.4,12.5,24.3,47.3,,,
1991,2020,9,14.6,9.3,19.8,83.6,,,
1991,2020,10,9.6,5.8,13.4,159.8,,,
1991,2020,11,5.9,2.9,8.8,192.5,,,
1991,2020,12,3.0,0.4,5.6,175.5,,,
