start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,,,,65.3,,,
1981,2010,2,,,,65.0,,,
1981,2010,3,,,,63.6,,,
1981,2010,4,,,,77.6,,,
1981,2010,5,,,,90.8,,,
1981,2010,6,,,,106.9,,,
1981,2010,7,,,,84.0,,,
1981,2010,8,,,,66.8,,,
1981,2010,9,,,,95.3,,,
1981,2010,10,,,,84.5,,,
1981,2010,11,,,,97.9,,,
1981,2010,12,,,,88.2,,,
1991,2020,1,-8.5,-13.4,-3.6,67.5,,,
1991,2020,2,-7.1,-12.5,-1.7,64.3,,,
1991,2020,3,-1.0,-6.3,4.3,63.7,,,
1991,2020,4,6.5,1.0,12.0,82.7,,,
1991,2020,5,13.6,7.5,19.6,88.5,,,
1991,2020,6,18.2,12.4,24.0,111.6,,,
1991,2020,7,20.6,14.5,26.7,78.5,,,
1991,2020,8,19.8,13.8,25.9,66.8,,,
1991,2020,9,16.1,10.1,22.1,95.5,,,
1991,2020,10,8.3,3.5,13.1,92.3,,,
1991,2020,11,2.6,-1.6,6.7,86.0,,,
1991,2020,12,-4.8,-8.7,-0.8,85.0,,,
