start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,-6.4,-9.9,-2.9,68.8,,,
1981,2010,2,-6.3,-10.6,-2.0,70.4,,,
1981,2010,3,-1.2,-5.9,3.6,67.4,,,
1981,2010,4,6.4,1.3,11.5,73.0,,,
1981,2010,5,12.2,6.9,17.6,95.1,,,
1981,2010,6,17.9,12.7,23.1,101.7,,,
1981,2010,7,19.8,14.6,24.9,87.8,,,
1981,2010,8,19.6,14.3,24.8,77.8,,,
1981,2010,9,15.8,10.5,21.0,82.6,,,
1981,2010,10,8.8,4.5,13.0,80.5,,,
1981,2010,11,3.2,-0.3,6.8,91.4,,,
1981,2010,12,-4.2,-7.3,-1.2,80.1,,,
1991,2020,1,-6.5,-10.2,-2.8,81.8,,,
1991,2020,2,-6.4,-10.6,-2.1,70.1,,,
1991,2020,3,-1.3,-6.0,3.4,64.7,,,
1991,2020,4,5.7,0.6,10.8,81.9,,,
1991,2020,5,12.9,7.4,18.4,86.6,,,
1991,2020,6,18.0,12.6,23.3,101.1,,,
1991,2020,7,20.2,14.9,25.6,83.3,,,
1991,2020,8,19.6,14.3,24.9,81.7,,,
1991,2020,9,16.0,10.7,21.3,82.2,,,
1991,2020,10,8.9,4.6,13.2,93.3,,,
1991,2020,11,3.1,-0.6,6.7,87.0,,,
1991,2020,12,-3.3,-6.4,-0.2,84.7,,,
