start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,-16.6,-20.7,-12.5,75.1,,,
1961,1990,2,-16.2,-20.8,-11.6,77.7,,,
1961,1990,3,-11.5,-16.1,-6.9,79.1,,,
1961,1990,4,-5.4,-9.7,-1.2,56.9,,,
1961,1990,5,1.2,-2.1,4.6,50.7,,,
1961,1990,6,6.0,2.0,10.0,65.2,,,
1961,1990,7,10.3,6.2,14.4,86.0,,,
1961,1990,8,10.6,6.9,14.3,70.2,,,
1961,1990,9,7.0,3.8,10.2,57.9,,,
1961,1990,10,1.8,-0.8,4.5,68.3,,,
1961,1990,11,-3.3,-6.0,-0.6,64.8,,,
1961,1990,12,-11.3,-14.8,-7.8,70.6,,,
1971,2000,1,-17.6,-21.8,-13.3,72.9,,,
1971,2000,2,-16.6,-21.1,-12.0,77.9,,,
1971,2000,3,-11.5,-16.1,-6.8,78.3,,,
1971,2000,4,-5.0,-9.3,-0.7,69.1,,,
1971,2000,5,1.2,-2.2,4.5,42.8,,,
1971,2000,6,5.8,1.8,9.7,44.5,,,
1971,2000,7,10.2,6.2,14.3,91.9,,,
1971,2000,8,10.7,6.8,14.6,61.4,,,
1971,2000,9,6.7,3.6,9.8,49.0,,,
1971,2000,10,1.5,-1.0,4.1,60.1,,,
1971,2000,11,-4.0,-6.8,-1.3,67.4,,,
1971,2000,12,-12.4,-16.0,-8.9,69.5,,,
1981,2010,1,-17.2,-20.9,-13.6,,,,
1981,2010,2,-15.4,-19.8,-11.1,,,,
1981,2010,3,-10.8,-15.3,-6.2,,,,
1981,2010,4,-3.6,-7.5,0.3,,,,
1981,2010,5,1.8,-1.5,5.0,,,,
1981,2010,6,6.6,3.1,10.1,,,,
1981,2010,7,11.4,7.6,15.1,,,,
1981,2010,8,11.9,8.3,15.5,,,,
1981,2010,9,8.4,5.2,11.5,,,,
1981,2010,10,2.9,0.7,5.1,,,,
1981,2010,11,-2.8,-5.3,-0.4,,,,
1981,2010,12,-10.2,-13.0,-7.3,,,,
1991,2020,1,-15.8,-19.4,-12.3,,,,
1991,2020,2,-15.9,-20.0,-11.8,,,,
1991,2020,3,-11.1,-15.4,-6.8,,,,
1991,2020,4,-4.0,-7.9,-0.0,,,,
1991,2020,5,1.6,-1.6,4.9,,,,
1991,2020,6,6.8,3.2,10.5,,,,
1991,2020,7,11.4,7.9,15.0,,,,
1991,2020,8,12.4,8.8,15.9,,,,
1991,2020,9,8.8,5.3,12.2,,,,
1991,2020,10,3.6,1.3,6.0,,,,
1991,2020,11,-2.8,-5.2,-0.3,,,,
1991,2020,12,-10.2,-13.0,-7.3,,,,
