start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,-7.6,-11.4,-3.9,,,,
1981,2010,2,-6.4,-10.3,-2.5,,,,
1981,2010,3,-2.2,-5.9,1.4,,,,
1981,2010,4,3.7,-0.2,7.6,,,,
1981,2010,5,9.2,4.3,14.2,,,,
1981,2010,6,14.8,10.0,19.7,,,,
1981,2010,7,18.8,14.4,23.3,,,,
1981,2010,8,19.0,14.6,23.5,,,,
1981,2010,9,14.9,10.4,19.4,,,,
1981,2010,10,9.2,5.4,12.9,,,,
1981,2010,11,3.8,0.6,7.0,,,,
1981,2010,12,-2.8,-6.2,0.6,,,,
1991,2020,1,-7.4,-11.2,-3.6,113.0,,,
1991,2020,2,-6.6,-10.5,-2.7,110.7,,,
1991,2020,3,-2.4,-6.0,1.3,101.1,,,
1991,2020,4,3.7,-0.2,7.6,101.4,,,
1991,2020,5,9.5,4.6,14.4,93.7,,,
1991,2020,6,14.6,9.9,19.4,92.4,,,
1991,2020,7,19.1,14.6,23.6,89.7,,,
1991,2020,8,19.2,14.9,23.6,120.4,,,
1991,2020,9,15.2,10.8,19.7,111.4,,,
1991,2020,10,9.2,5.5,13.0,127.7,,,
1991,2020,11,3.8,0.6,7.0,128.7,,,
1991,2020,12,-2.2,-5.6,1.1,158.4,,,
