start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,-10.4,-15.6,-5.1,15.5,,,
1981,2010,2,-9.3,-15.0,-3.6,14.4,,,
1981,2010,3,-3.6,-9.5,2.3,21.9,,,
1981,2010,4,4.2,-2.7,11.2,35.0,,,
1981,2010,5,10.0,2.7,17.2,45.5,,,
1981,2010,6,14.2,7.5,21.0,89.2,,,
1981,2010,7,18.0,10.3,25.8,50.7,,,
1981,2010,8,16.1,8.4,23.8,56.7,,,
1981,2010,9,11.2,3.8,18.5,33.6,,,
1981,2010,10,4.6,-2.1,11.4,13.5,,,
1981,2010,11,-3.4,-8.9,2.1,12.4,,,
1981,2010,12,-10.6,-15.8,-5.3,13.2,,,
1991,2020,1,-10.3,-15.7,-4.9,20.6,,,
1991,2020,2,-10.3,-16.2,-4.4,15.3,,,
1991,2020,3,-4.3,-10.3,1.7,26.9,,,
1991,2020,4,3.7,-3.4,10.8,33.9,,,
1991,2020,5,10.3,2.7,17.9,45.8,,,
1991,2020,6,14.1,7.4,20.8,97.5,,,
1991,2020,7,17.7,10.0,25.4,60.1,,,
1991,2020,8,16.2,8.4,24.1,53.8,,,
1991,2020,9,11.5,3.7,19.3,34.5,,,
1991,2020,10,4.8,-2.2,11.7,13.7,,,
1991,2020,11,-4.7,-10.1,0.7,22.4,,,
1991,2020,12,-11.2,-16.6,-5.9,19.4,,,
