start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,-9.6,-14.3,-4.9,67.5,,,
1981,2010,2,-7.8,-12.8,-2.7,52.2,,,
1981,2010,3,-1.9,-6.8,3.0,66.8,,,
1981,2010,4,6.6,1.3,11.9,106.6,,,
1981,2010,5,13.4,7.4,19.4,98.8,,,
1981,2010,6,19.0,13.3,24.6,102.9,,,
1981,2010,7,20.8,15.4,26.1,117.8,,,
1981,2010,8,20.0,14.5,25.6,108.5,,,
1981,2010,9,16.2,10.5,21.8,94.6,,,
1981,2010,10,8.6,3.8,13.4,123.0,,,
1981,2010,11,2.6,-1.4,6.6,97.1,,,
1981,2010,12,-5.8,-9.8,-1.7,102.2,,,
1991,2020,1,-9.6,-14.3,-4.9,64.0,,,
1991,2020,2,-7.6,-12.6,-2.7,57.1,,,
1991,2020,3,-2.0,-6.8,2.9,69.1,,,
1991,2020,4,6.6,1.3,11.8,104.6,,,
1991,2020,5,13.5,7.6,19.4,106.9,,,
1991,2020,6,19.0,13.4,24.6,102.1,,,
1991,2020,7,20.8,15.4,26.3,104.8,,,
1991,2020,8,20.0,14.5,25.6,111.1,,,
1991,2020,9,16.2,10.5,21.8,95.9,,,
1991,2020,10,8.8,4.0,13.7,120.9,,,
1991,2020,11,2.4,-1.8,6.6,80.5,,,
1991,2020,12,-5.6,-9.8,-1.5,105.8,,,
