start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,,-9.8,,,,,
1981,2010,2,,-8.7,,,,,
1981,2010,3,,-5.8,,,,,
1981,2010,4,,-2.4,,,,,
1981,2010,5,,1.7,,,,,
1981,2010,6,,5.4,,,,,
1981,2010,7,,8.5,,,,,
1981,2010,8,,7.3,,,,,
1981,2010,9,,3.4,,,,,
1981,2010,10,,-1.2,,,,,
1981,2010,11,,-5.9,,,,,
1981,2010,12,,-10.0,,,,,
1991,2020,1,-6.4,-9.9,-2.8,21.5,,,
1991,2020,2,-3.8,-8.5,0.8,12.2,,,
1991,2020,3,-0.1,-5.7,5.6,21.4,,,
1991,2020,4,4.3,-2.3,10.9,19.3,,,
1991,2020,5,8.9,1.8,16.0,40.0,,,
1991,2020,6,12.4,5.4,19.5,48.3,,,
1991,2020,7,16.5,8.5,24.5,33.6,,,
1991,2020,8,15.6,7.5,23.7,29.9,,,
1991,2020,9,11.0,3.6,18.3,43.6,,,
1991,2020,10,4.3,-1.2,9.8,20.6,,,
1991,2020,11,-2.6,-6.0,0.7,26.5,,,
1991,2020,12,-6.8,-9.8,-3.7,19.8,,,
