start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,,-14.6,,,,,
1981,2010,2,,-14.3,,,,,
1981,2010,3,,-7.3,,,,,
1981,2010,4,,0.8,,,,,
1981,2010,5,,7.1,,,,,
1981,2010,6,,13.0,,,,,
1981,2010,7,,14.5,,,,,
1981,2010,8,,13.9,,,,,
1981,2010,9,,9.9,,,,,
1981,2010,10,,3.6,,,,,
1981,2010,11,,-1.5,,,,,
1981,2010,12,,-10.2,,,,,
1991,2020,1,-9.6,-14.2,-5.1,66.0,,,
1991,2020,2,-8.3,-13.4,-3.2,56.3,,,
1991,2020,3,-2.5,-7.2,2.2,63.9,,,
1991,2020,4,5.9,0.8,11.0,92.2,,,
1991,2020,5,13.4,7.7,19.2,107.0,,,
1991,2020,6,18.4,12.9,23.9,96.3,,,
1991,2020,7,20.8,15.1,26.4,120.3,,,
1991,2020,8,19.8,14.1,25.4,112.1,,,
1991,2020,9,15.8,10.1,21.6,90.8,,,
1991,2020,10,8.8,4.2,13.4,109.6,,,
1991,2020,11,1.8,-1.9,5.6,79.4,,,
1991,2020,12,-5.6,-9.9,-1.4,110.9,,,
