start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,,,,15.8,,,
1981,2010,2,,,,10.4,,,
1981,2010,3,,,,11.3,,,
1981,2010,4,,,,24.1,,,
1981,2010,5,,,,34.6,,,
1981,2010,6,,,,68.8,,,
1981,2010,7,,,,39.8,,,
1981,2010,8,,,,42.1,,,
1981,2010,9,,,,32.1,,,
1981,2010,10,,,,14.6,,,
1981,2010,11,,,,9.2,,,
1981,2010,12,,,,13.1,,,
1991,2020,1,-12.4,-17.3,-7.6,16.1,,,
1991,2020,2,-11.8,-17.3,-6.2,12.3,,,
1991,2020,3,-4.9,-10.1,0.3,15.7,,,
1991,2020,4,4.2,-2.6,10.9,26.4,,,
1991,2020,5,11.1,3.6,18.6,37.6,,,
1991,2020,6,15.8,9.2,22.3,66.5,,,
1991,2020,7,19.8,12.3,27.2,49.3,,,
1991,2020,8,18.1,10.7,25.5,55.2,,,
1991,2020,9,12.5,5.3,19.7,28.6,,,
1991,2020,10,4.0,-2.3,10.3,18.4,,,
1991,2020,11,-3.7,-9.0,1.6,18.2,,,
1991,2020,12,-9.9,-14.9,-4.9,15.1,,,
