start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,,,2.0,44.0,,,
1981,2010,2,,,4.5,17.7,,,
1981,2010,3,,,9.6,18.3,,,
1981,2010,4,,,14.8,16.9,,,
1981,2010,5,,,19.4,30.7,,,
1981,2010,6,,,23.2,35.0,,,
1981,2010,7,,,27.5,23.0,,,
1981,2010,8,,,26.2,23.8,,,
1981,2010,9,,,20.3,24.2,,,
1981,2010,10,,,13.4,26.7,,,
1981,2010,11,,,6.2,34.9,,,
1981,2010,12,,,1.5,47.3,,,
1991,2020,1,-0.1,-2.3,2.1,48.1,,,
1991,2020,2,0.8,-2.2,3.8,27.0,,,
1991,2020,3,5.4,1.4,9.5,23.1,,,
1991,2020,4,9.4,4.3,14.6,20.6,,,
1991,2020,5,14.8,9.4,20.2,31.2,,,
1991,2020,6,18.2,13.0,23.4,37.4,,,
1991,2020,7,22.2,16.5,27.9,20.1,,,
1991,2020,8,21.5,15.9,27.1,16.0,,,
1991,2020,9,16.3,11.5,21.1,24.8,,,
1991,2020,10,9.3,5.4,13.2,33.9,,,
1991,2020,11,4.0,1.5,6.6,40.0,,,
1991,2020,12,-0.1,-2.2,2.0,52.3,,,
