start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1971,2000,1,-13.4,-18.5,-8.3,114.8,,,
1971,2000,2,-13.4,-18.2,-8.5,88.0,,,
1971,2000,3,-7.4,-11.3,-3.4,82.4,,,
1971,2000,4,-1.5,-4.9,2.0,54.7,,,
1971,2000,5,3.5,-0.4,7.4,73.0,,,
1971,2000,6,8.0,3.9,12.1,101.4,,,
1971,2000,7,12.0,8.1,15.8,106.7,,,
1971,2000,8,12.8,8.9,16.6,105.2,,,
1971,2000,9,9.0,5.1,12.8,94.0,,,
1971,2000,10,3.6,0.3,7.0,86.7,,,
1971,2000,11,-1.6,-5.0,1.8,68.5,,,
1971,2000,12,-8.5,-13.0,-4.0,102.3,,,
1981,2010,1,-12.4,-17.3,-7.5,99.8,,,
1981,2010,2,-12.0,-16.7,-7.4,86.9,,,
1981,2010,3,-7.2,-11.3,-3.2,82.0,,,
1981,2010,4,-1.2,-4.6,2.2,51.6,,,
1981,2010,5,3.8,-0.2,7.9,65.5,,,
1981,2010,6,8.2,4.1,12.3,90.4,,,
1981,2010,7,12.2,8.4,16.0,101.9,,,
1981,2010,8,13.0,9.2,16.8,104.2,,,
1981,2010,9,9.1,5.2,13.0,89.8,,,
1981,2010,10,4.0,0.7,7.3,91.3,,,
1981,2010,11,-1.2,-4.5,2.2,73.3,,,
1981,2010,12,-7.8,-12.0,-3.6,97.2,,,
1991,2020,1,-11.6,-16.3,-6.8,81.1,,,
1991,2020,2,-11.4,-15.8,-6.9,80.5,,,
1991,2020,3,-6.6,-10.7,-2.6,82.5,,,
1991,2020,4,-1.2,-4.6,2.2,55.0,,,
1991,2020,5,3.8,-0.2,7.8,65.5,,,
1991,2020,6,8.3,4.2,12.4,81.5,,,
1991,2020,7,12.2,8.5,16.0,90.8,,,
1991,2020,8,13.4,9.7,17.2,93.9,,,
1991,2020,9,9.2,5.3,13.1,101.0,,,
1991,2020,10,4.4,1.1,7.7,85.4,,,
1991,2020,11,-1.0,-4.4,2.4,81.9,,,
1991,2020,12,-7.4,-11.4,-3.3,93.4,,,
