start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,-2.8,-6.0,0.5,63.7,,,
1981,2010,2,-1.8,-5.7,2.2,57.3,,,
1981,2010,3,3.4,-1.5,8.2,63.3,,,
1981,2010,4,10.1,4.5,15.7,73.8,,,
1981,2010,5,15.5,9.9,21.1,98.1,,,
1981,2010,6,21.4,15.8,26.9,91.5,,,
1981,2010,7,23.4,18.0,28.9,77.9,,,
1981,2010,8,23.0,17.9,28.2,76.7,,,
1981,2010,9,19.0,13.8,24.3,75.6,,,
1981,2010,10,12.0,7.4,16.7,67.4,,,
1981,2010,11,6.1,2.2,10.0,77.9,,,
1981,2010,12,-1.0,-4.0,2.1,74.4,,,
1991,2020,1,-2.8,-6.1,0.6,66.3,,,
1991,2020,2,-1.8,-5.7,2.2,61.1,,,
1991,2020,3,3.1,-1.6,7.8,63.4,,,
1991,2020,4,9.8,4.4,15.2,83.6,,,
1991,2020,5,16.0,10.3,21.6,99.5,,,
1991,2020,6,21.6,16.0,27.1,82.8,,,
1991,2020,7,23.8,18.5,29.2,85.2,,,
1991,2020,8,23.0,17.9,28.1,94.8,,,
1991,2020,9,19.2,14.2,24.3,98.8,,,
1991,2020,10,12.4,7.8,16.9,72.7,,,
1991,2020,11,5.8,2.0,9.7,76.1,,,
1991,2020,12,0.1,-3.0,3.1,69.7,,,
