start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,-12.0,-17.5,-6.5,,,,
1981,2010,2,-10.6,-17.0,-4.1,,,,
1981,2010,3,-3.7,-9.8,2.4,,,,
1981,2010,4,4.4,-1.5,10.3,,,,
1981,2010,5,11.3,4.8,17.8,,,,
1981,2010,6,17.0,10.7,23.4,,,,
1981,2010,7,19.2,13.4,25.0,,,,
1981,2010,8,18.6,12.3,24.9,,,,
1981,2010,9,14.2,8.0,20.4,,,,
1981,2010,10,6.8,1.8,11.8,,,,
1981,2010,11,0.8,-3.3,4.9,,,,
1981,2010,12,-8.0,-12.7,-3.4,,,,
1991,2020,1,-11.6,-17.0,-6.2,70.8,,,
1991,2020,2,-10.0,-16.4,-3.7,51.1,,,
1991,2020,3,-3.9,-9.8,2.1,59.4,,,
1991,2020,4,4.1,-1.7,9.8,81.3,,,
1991,2020,5,11.6,5.1,18.1,89.9,,,
1991,2020,6,17.0,10.6,23.5,115.2,,,
1991,2020,7,19.6,13.6,25.7,116.2,,,
1991,2020,8,18.8,12.5,25.0,109.7,,,
1991,2020,9,14.2,8.2,20.3,108.8,,,
1991,2020,10,7.0,1.9,12.0,108.2,,,
1991,2020,11,0.6,-3.6,4.7,92.7,,,
1991,2020,12,-8.0,-12.4,-3.5,106.0,,,
