start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,,,,17.9,,,
1981,2010,2,,,,14.1,,,
1981,2010,3,,,,33.2,,,
1981,2010,4,,,,22.1,,,
1981,2010,5,,,,67.1,,,
1981,2010,6,,,,98.5,,,
1981,2010,7,,,,72.8,,,
1981,2010,8,,,,63.0,,,
1981,2010,9,,,,36.8,,,
1981,2010,10,,,,32.2,,,
1981,2010,11,,,,23.6,,,
1981,2010,12,,,,28.0,,,
1991,2020,1,,,,19.5,,,
1991,2020,2,,,,13.4,,,
1991,2020,3,,,,29.6,,,
1991,2020,4,,,,24.6,,,
1991,2020,5,,,,60.4,,,
1991,2020,6,,,,111.1,,,
1991,2020,7,,,,72.3,,,
1991,2020,8,,,,60.2,,,
1991,2020,9,,,,44.6,,,
1991,2020,10,,,,34.1,,,
1991,2020,11,,,,22.0,,,
1991,2020,12,,,,23.2,,,
